Goblin Assualt I,10,Easy,25,A small pack of goblins has been raiding farmlands on the outskirts of town. Drive them off.,The goblin pack was scattered and extra defenses constructed.,The golblins overcame our defensive efforts and more towns have been lost.
Necromancer is Massing Forces,70,Extreme,25,A foul presence lurks in the Raven Wood. Villagers recount seeing the dead walk. Investigate their reports.,The reports were true. An evil magic was raising the dead for its own sinister purposes. He was turned to ash and his army put to rest.,The reports were true. A powerful and evil magic resides in that forest. We were no match and only by the grace of god did we escape with our lives.
Mercenary Wanted I,20,Medium,25,A local lord requests the assistance of a mercenary for undisclosed duties. Must be willing to get your hands dirty,The deed is done though some dirt can only wash away with time. I'll speak no more of what happened.,The task was beyond your skills. Best you keep your head down until the lords rage has subsided.
Plague of Rats,10,Easy,25,The town is slowly being overrun by rats. The church is warning of plague and requesting donations to drive off the disease. Investigate further,The culperate was found to be Boris the baker throwing sacks of old bread and other goods into the back alley. The bread will now be donated to the homeless,After extensive research i've found nothing. Perhaps we should donate to the church?
Neighbourly Confrontation,35,Hard,25,Day after day Inky (the neighbours cat) wakes the entire neighbourhood with hisses and gutteral meows. Resolve the issue, With neighbourly grace i explained the situation to Inky's owner. He appologised and said Inky will sleep inside form now on., I knocked on Inky's owners door but an uncontrollable wave of anxiety came over me. I waited 3 seconds and concluded he wasn't home. 
Hunt for Food,10,Easy,25,Hunt boars and gather their meat.,Tell the town we'll be eating well tonight!,One of the buggers stuck me with his tusk. Have the cooks prepare a parsnip soup for tonight while i tend to my wounds.
Race to the City,70,Extreme,25,One of the townsfolk was assualted by a pack of thugs and the local weed gatherer says they need the city hospice. Ride with all haste to the city.,I reached the city by nightfall with the man unconscious. The hopsice staff are treating him as we speak and say he will fully recover., I rode through the night and was accosted by all manner of ghouls and night creatures. I fought them off but was slowed greatly. The wounded townsman is in hands of the hospice now though their words don't bost confidence. We should all pray for his recovery.
Gather Ingredients I,20,Medium,25,The weather is beautiful. Perfect day to go and pick some mushrooms for dinner.,The wife was over the moon with my sack full of mushrooms. It was a beautiful day.,With a sack full of poisonous toadstools and covered in insect bites my wife threw me out of the house and cursed me for a fool. Not how i pictured the day going..
Tavern Brawl,35,Hard,25,A few mouthy drunks at the tavern want to throw down.,The drunkards wobbled as they approached. I assisted them to the ground with a crisp right left combination. The crowled settled down after my display.,The brawl kicked off and consumed the tavern. The last i remember was wrestling a large bearded fellow before i was hit over the back by another weilding a chair. Not a bad night.
Teach the Town Bullies a Lesson,20,Medium,25,The town bullies are hassling some smaller kids. Teach them a lesson.,Turns out thier not so tough when its someone their own size. Ran away with their tales between their legs.,Well.. I went to show them whats what but tripped and stumbled into a puddle. Little buggers ran off laughing. I'll get them next time.
Bandit Army I,10,Easy,25,Travellers are reporting more and more bandits on the roads. Travel the main thoroughfares to and from town and make and example of any unsavoury characters you come accross.,There was no shortage of bandits on the roads. Hiding in shubberies and waiting for the cover of darkness to prey on unarmed travellers and merchants. Each i found was strung up as an example of where such a lifestyle leads. Perhaps it will give those who follow pause.,These bandits are skilled with the sword. I took a flesh wound my first night on the trail and was forced to return home.
Tournament I,35,Hard,25,It's time for the Town Fair yet again. This year there will be a tournament for the best fighters in our town.,I cruised through the early rounds and semi finals. In the final i faced the captain of the town gaur. Battle hardened and full of experience he gave me all i could handle. We traded blows intertwinded with feints counterfeints. We gave the crowd a mighty show and as my opponent began to tire i caught him with a ferocious blow to the liver sending him to his knees., I met my match in the finals coming up against the captain of the town gaurd. We put on a hell of a show but his endurance was too much for me and his relentless assault was too much for my fading defences.  
Orc Invasion III,70,Extreme,25,A giant hulking orc has emassed a warband the like of which has not been seen since the old times. They march toward the city by way of our settlement. We must hold them here.,With sword and arrow and bolts of etheric lightning did we cast the green abominations from our settlement. They assumed us to have retreated to the city. An underestimation they paid dearly for. For now they have retreated with the bulk of their forces and no doubt plan a future assault.,They came in endless numbers.. I saw their leader standing atop a giant boulder at the centre of the mass. An orc unlike any i've seen. Pale skin and twice the size of his comrades. He gave orders as our generald do. They fought not like orcs but like men. We have taken refuge within the city walls and prepare for their final assualt.
Detective II,20,Medium,25,An arcanist has been setting fires to buildings and farmland. There is a reward for anyone who can bring him in.,A pyromaniac cultist was behind the burnings. The gaurd saw poetice justice enacted.,A cultist pyromancer is behind the burnings. Hes powerful and raving mad. My attempt at capture was unfortunately thwarted. 
Explore Caves III,35,Hard,25,
